Name,Sets,Reps,Rest,Difficulty,Equipment,Level,Goal,Muscle,Source,ImageURL,RefURL
Dumbbell Curl,3,12,60,Easy,Dumbbells,Beginner,Strength,Biceps,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/05/Dumbbell-Alternate-Biceps-Curl-resized.png,https://fitnessvolt.com/dumbbell-curl-biceps/
Incline Dumbbell Curl,3,10,90,Medium,Dumbbells,Beginner,Strength,Biceps,Data.txt,https://weighttraining.guide/wp-content/uploads/2017/01/Incline-Dumbbell-Curl-resized.png,https://weighttraining.guide/exercises/incline-dumbbell-curl/
Hammer Curl,3,12,60,Easy,Dumbbells,Beginner,Strength,Biceps,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/11/Dumbbell-Hammer-Curl-resized.png,https://weighttraining.guide/exercises/dumbbell-hammer-curl/
Barbell Bench Press,4,8,120,Hard,Barbell,Intermediate,Muscle gain,Chest,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/05/Barbell-Bench-Press-resized.png,https://weighttraining.guide/exercises/bench-press/
Incline Dumbbell Press,4,10,90,Medium,Dumbbells,Intermediate,Muscle gain,Chest,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/11/incline-dumbbell-bench-press-resized.png,https://weighttraining.guide/exercises/incline-dumbbell-bench-press/
Cable Flyes,3,12,60,Medium,Cable machine,Intermediate,Muscle gain,Chest,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/05/cable-cross-over-resized.png,https://weighttraining.guide/exercises/cable-cross-over/
Dips,3,10,90,Medium,Bodyweight,Intermediate,Muscle gain,Chest,Data.txt,https://training.fit/wp-content/uploads/2020/03/arnold-dips-800x448.png,https://training.fit/exercise/bench-dip/
Barbell Back Squat,5,5,180,Hard,Barbell,Advanced,Endurance,Legs,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/10/barbell-squat-resized-FIXED-2.png,https://weighttraining.guide/exercises/barbell-squat/
Leg Press,4,15,90,Medium,Cable machine,Advanced,Endurance,Legs,Data.txt,https://training.fit/wp-content/uploads/2020/03/beinpresse-800x448.png,https://training.fit/exercise/seated-leg-press/
Leg Curl,4,12,60,Medium,Cable machine,Advanced,Endurance,Legs,Data.txt,https://training.fit/wp-content/uploads/2020/03/beinbeugen-liegend-geraet.png,https://training.fit/exercise/lying-leg-curl/
Leg Extension,3,15,60,Easy,Cable machine,Advanced,Endurance,Legs,Data.txt,https://weighttraining.guide/wp-content/uploads/2016/05/lever-leg-extension-resized.png,https://fitnessvolt.com/leg-extension/
Calf Raises,3,20,45,Easy,Barbell,Advanced,Endurance,Legs,Data.txt,https://cdn.athlemove.com/bbdba77e-b34b-4683-bdcb-ffce756d42b8.webp,https://athlemove.com/exercises/dumbbell-standing-calf-raise
Barbell Squats,4,10,90,Hard,Barbell,Intermediate,Muscle gain,Legs,API-BuildMuscle,https://weighttraining.guide/wp-content/uploads/2016/10/barbell-squat-resized-FIXED-2.png,https://fitnessvolt.com/24669/barbell-squat/
Leg Press,3,12,75,Medium,Leg Press Machine,Intermediate,Muscle gain,Legs,API-BuildMuscle,https://training.fit/wp-content/uploads/2020/03/beinpresse-800x448.png,https://training.fit/exercise/seated-leg-press/
Walking Lunges,3,10,60,Medium,Bodyweight,Intermediate,Muscle gain,Legs,API-BuildMuscle,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fff9ba04b-3ea8-4a50-94d0-a30493b96310_1392x590.jpeg",https://solanabroker.substack.com/p/what-are-lunges-and-why-are-they
Bench Press,4,10,90,Hard,Barbell,Intermediate,Muscle gain,Chest,API-BuildMuscle,https://training.fit/wp-content/uploads/2018/11/bankdruecken-flachbank-langhantel-800x448.png,https://training.fit/exercise/benchpress/
Dumbbell Shoulder Press,3,11,75,Medium,Dumbbells,Intermediate,Muscle gain,Chest,API-BuildMuscle,https://training.fit/wp-content/uploads/2020/03/schulterdruecken-kurzhanteln-800x448.png,https://training.fit/exercise/dumbbell-shoulder-press/
Push-Ups,3,17,45,Easy,Bodyweight,Intermediate,Muscle gain,Chest,API-BuildMuscle,https://training.fit/wp-content/uploads/2020/02/liegestuetze-800x448.png,https://training.fit/exercise/push-ups/
